t	p	V	L	psi	z
0.00326	226.318	282.61	0.219807	0.179916	0.179916
0.00327	227.489	285.388	0.222647	0.181658	0.181658
0.00328	228.648	288.181	0.225515	0.183408	0.183408
0.00329	229.798	290.987	0.22841	0.185167	0.185167
0.0033	230.936	293.808	0.231334	0.186935	0.186935
0.00331	232.064	296.642	0.234287	0.188712	0.188712
0.00332	233.181	299.49	0.237267	0.190497	0.190497
0.00333	234.286	302.352	0.240276	0.192291	0.192291
0.00334	235.38	305.227	0.243314	0.194093	0.194093
0.00335	236.461	308.116	0.246381	0.195904	0.195904
0.00336	237.531	311.017	0.249477	0.197723	0.197723
0.00337	238.589	313.932	0.252601	0.19955	0.19955
0.00338	239.635	316.86	0.255755	0.201385	0.201385
0.00339	240.668	319.8	0.258939	0.203228	0.203228
0.0034	241.688	322.753	0.262151	0.205079	0.205079
0.00341	242.696	325.718	0.265394	0.206937	0.206937
0.00342	243.69	328.696	0.268666	0.208804	0.208804
0.00343	244.671	331.685	0.271968	0.210678	0.210678
0.00344	245.639	334.687	0.2753	0.212559	0.212559
0.00345	246.594	337.7	0.278661	0.214448	0.214448
0.00346	247.534	340.725	0.282054	0.216344	0.216344
0.00347	248.461	343.762	0.285476	0.218247	0.218247
0.00348	249.375	346.809	0.288929	0.220158	0.220158
0.00349	250.273	349.868	0.292412	0.222075	0.222075
0.0035	251.158	352.938	0.295926	0.223999	0.223999
0.00351	252.029	356.018	0.299471	0.22593	0.22593
0.00352	252.885	359.109	0.303047	0.227867	0.227867
0.00353	253.726	362.21	0.306653	0.229811	0.229811
0.00354	254.553	365.322	0.310291	0.231762	0.231762
0.00355	255.365	368.444	0.31396	0.233718	0.233718
0.00356	256.162	371.575	0.31766	0.235681	0.235681
0.00357	256.944	374.716	0.321391	0.23765	0.23765
0.00358	257.711	377.867	0.325154	0.239625	0.239625
0.00359	258.463	381.027	0.328949	0.241606	0.241606
0.0036	259.2	384.196	0.332775	0.243592	0.243592
0.00361	259.921	387.374	0.336633	0.245584	0.245584
0.00362	260.627	390.56	0.340522	0.247582	0.247582
0.00363	261.318	393.756	0.344444	0.249584	0.249584
0.00364	261.993	396.959	0.348397	0.251593	0.251593
0.00365	262.653	400.171	0.352383	0.253606	0.253606
0.00366	263.297	403.391	0.356401	0.255624	0.255624
0.00367	263.925	406.618	0.360451	0.257647	0.257647
0.00368	264.538	409.853	0.364533	0.259675	0.259675
0.00369	265.135	413.096	0.368648	0.261707	0.261707
0.0037	265.716	416.346	0.372795	0.263744	0.263744
0.00371	266.282	419.602	0.376975	0.265786	0.265786
0.00372	266.832	422.866	0.381187	0.267831	0.267831
0.00373	267.366	426.136	0.385432	0.269881	0.269881
0.00374	267.885	429.413	0.38971	0.271935	0.271935
0.00375	268.387	432.696	0.39402	0.273993	0.273993
0.00376	268.874	435.985	0.398364	0.276055	0.276055
0.00377	269.345	439.28	0.40274	0.27812	0.27812
0.00378	269.801	442.58	0.407149	0.280189	0.280189
0.00379	270.241	445.886	0.411592	0.282261	0.282261
0.0038	270.665	449.198	0.416067	0.284337	0.284337
0.00381	271.073	452.514	0.420576	0.286415	0.286415
0.00382	271.466	455.835	0.425118	0.288497	0.288497
0.00383	271.843	459.161	0.429693	0.290582	0.290582
0.00384	272.205	462.492	0.434301	0.29267	0.29267
0.00385	272.551	465.827	0.438942	0.29476	0.29476
0.00386	272.882	469.166	0.443617	0.296853	0.296853
0.00387	273.198	472.509	0.448326	0.298949	0.298949
0.00388	273.498	475.856	0.453068	0.301046	0.301046
0.00389	273.783	479.206	0.457843	0.303146	0.303146
0.0039	274.053	482.56	0.462652	0.305249	0.305249
0.00391	274.308	485.917	0.467494	0.307353	0.307353
0.00392	274.547	489.277	0.47237	0.309459	0.309459
0.00393	274.772	492.64	0.47728	0.311567	0.311567
0.00394	274.982	496.005	0.482223	0.313676	0.313676
0.00395	275.177	499.373	0.4872	0.315787	0.315787
0.00396	275.358	502.743	0.49221	0.3179	0.3179
0.00397	275.523	506.116	0.497255	0.320014	0.320014
0.00398	275.675	509.49	0.502333	0.322129	0.322129
0.00399	275.812	512.866	0.507444	0.324245	0.324245
0.004	275.935	516.244	0.51259	0.326362	0.326362
0.00401	276.043	519.623	0.517769	0.32848	0.32848
0.00402	276.138	523.003	0.522982	0.330599	0.330599
0.00403	276.218	526.385	0.528229	0.332719	0.332719
0.00404	276.285	529.767	0.53351	0.334839	0.334839
0.00405	276.338	533.15	0.538825	0.336959	0.336959
0.00406	276.377	536.534	0.544173	0.33908	0.33908
0.00407	276.403	539.918	0.549555	0.341202	0.341202
0.00408	276.416	543.302	0.554971	0.343323	0.343323
0.00408	276.416	543.302	0.554971	0.343323	0.343323
0.00409	276.415	546.686	0.560421	0.345444	0.345444
0.0041	276.401	550.07	0.565905	0.347566	0.347566
0.00411	276.375	553.454	0.571423	0.349687	0.349687
0.00412	276.335	556.838	0.576974	0.351808	0.351808
0.00413	276.283	560.221	0.58256	0.353928	0.353928
0.00414	276.218	563.603	0.588179	0.356048	0.356048
0.00415	276.141	566.985	0.593832	0.358168	0.358168
0.00416	276.051	570.365	0.599518	0.360287	0.360287
0.00417	275.95	573.744	0.605239	0.362405	0.362405
0.00418	275.836	577.122	0.610993	0.364522	0.364522
0.00419	275.711	580.499	0.616781	0.366639	0.366639
0.0042	275.573	583.873	0.622603	0.368754	0.368754
0.00421	275.425	587.247	0.628459	0.370868	0.370868
0.00422	275.264	590.618	0.634348	0.372981	0.372981
0.00423	275.093	593.987	0.640271	0.375093	0.375093
0.00424	274.91	597.354	0.646228	0.377204	0.377204
0.00425	274.717	600.719	0.652218	0.379313	0.379313
0.00426	274.512	604.081	0.658242	0.38142	0.38142
0.00427	274.297	607.441	0.6643	0.383526	0.383526
0.00428	274.072	610.798	0.670391	0.385631	0.385631
0.00429	273.836	614.152	0.676516	0.387733	0.387733
0.0043	273.589	617.503	0.682674	0.389834	0.389834
0.00431	273.333	620.851	0.688866	0.391932	0.391932
0.00432	273.067	624.196	0.695091	0.394029	0.394029
0.00433	272.791	627.538	0.70135	0.396124	0.396124
0.00434	272.506	630.876	0.707642	0.398216	0.398216
0.00435	272.211	634.211	0.713967	0.400306	0.400306
0.00436	271.906	637.541	0.720326	0.402394	0.402394
0.00437	271.593	640.869	0.726718	0.40448	0.40448
0.00438	271.27	644.192	0.733143	0.406563	0.406563
0.00439	270.939	647.511	0.739602	0.408643	0.408643
0.0044	270.599	650.826	0.746094	0.410721	0.410721
0.00441	270.25	654.137	0.752618	0.412797	0.412797
0.00442	269.893	657.444	0.759176	0.414869	0.414869
0.00443	269.528	660.746	0.765767	0.416939	0.416939
0.00444	269.155	664.044	0.772391	0.419006	0.419006
0.00445	268.773	667.337	0.779048	0.42107	0.42107
0.00446	268.384	670.625	0.785738	0.423132	0.423132
0.00447	267.987	673.909	0.792461	0.42519	0.42519
0.00448	267.583	677.188	0.799216	0.427245	0.427245
0.00449	267.172	680.461	0.806004	0.429297	0.429297
0.0045	266.753	683.73	0.812825	0.431346	0.431346
0.00451	266.327	686.993	0.819679	0.433391	0.433391
0.00452	265.894	690.251	0.826565	0.435434	0.435434
0.00453	265.454	693.504	0.833484	0.437473	0.437473
0.00454	265.008	696.751	0.840435	0.439508	0.439508
0.00455	264.555	699.993	0.847419	0.44154	0.44154
0.00456	264.096	703.23	0.854435	0.443569	0.443569
0.00457	263.631	706.46	0.861484	0.445594	0.445594
