t	p	V	L	psi	z
0.00286	407.655	393.113	0.245127	0.307821	0.307821
0.00287	410.566	398.122	0.249084	0.311709	0.311709
0.00288	413.448	403.166	0.25309	0.315625	0.315625
0.00289	416.3	408.246	0.257147	0.319568	0.319568
0.0029	419.12	413.36	0.261255	0.323538	0.323538
0.00291	421.908	418.508	0.265414	0.327534	0.327534
0.00292	424.662	423.691	0.269625	0.331557	0.331557
0.00293	427.382	428.907	0.273888	0.335606	0.335606
0.00294	430.067	434.156	0.278203	0.33968	0.33968
0.00295	432.715	439.438	0.282571	0.34378	0.34378
0.00296	435.326	444.752	0.286992	0.347905	0.347905
0.00297	437.9	450.098	0.291467	0.352054	0.352054
0.00298	440.434	455.475	0.295994	0.356228	0.356228
0.00299	442.928	460.882	0.300576	0.360426	0.360426
0.003	445.382	466.321	0.305212	0.364647	0.364647
0.00301	447.795	471.788	0.309903	0.368891	0.368891
0.00302	450.165	477.286	0.314648	0.373158	0.373158
0.00303	452.492	482.811	0.319448	0.377447	0.377447
0.00304	454.776	488.366	0.324304	0.381759	0.381759
0.00305	457.016	493.947	0.329216	0.386091	0.386091
0.00306	459.21	499.556	0.334183	0.390445	0.390445
0.00307	461.359	505.192	0.339207	0.39482	0.39482
0.00308	463.461	510.853	0.344287	0.399214	0.399214
0.00309	465.517	516.541	0.349424	0.403629	0.403629
0.0031	467.525	522.252	0.354618	0.408062	0.408062
0.00311	469.485	527.989	0.359869	0.412515	0.412515
0.00312	471.397	533.749	0.365178	0.416986	0.416986
0.00313	473.259	539.532	0.370544	0.421475	0.421475
0.00314	475.073	545.337	0.375969	0.425981	0.425981
0.00315	476.836	551.164	0.381451	0.430505	0.430505
0.00316	478.55	557.013	0.386992	0.435045	0.435045
0.00317	480.213	562.883	0.392592	0.439601	0.439601
0.00318	481.825	568.772	0.39825	0.444172	0.444172
0.00319	483.386	574.681	0.403967	0.448759	0.448759
0.0032	484.896	580.608	0.409744	0.45336	0.45336
0.00321	486.354	586.554	0.415579	0.457975	0.457975
0.00322	487.76	592.518	0.421475	0.462604	0.462604
0.00323	489.114	598.498	0.42743	0.467246	0.467246
